Entity,Code,Day,total_vaccinations
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,8200
Afghanistan,AFG,2021-03-16,54000
Afghanistan,AFG,2021-04-07,120000
Afghanistan,AFG,2021-04-22,240000
Afghanistan,AFG,2021-05-11,504502
Afghanistan,AFG,2021-05-20,547901
Afghanistan,AFG,2021-05-24,573277
Afghanistan,AFG,2021-05-26,590454
Afghanistan,AFG,2021-05-27,593313
Afghanistan,AFG,2021-05-30,600152
Afghanistan,AFG,2021-06-02,626290
Afghanistan,AFG,2021-06-03,630305
Afghanistan,AFG,2021-06-08,641295
Afghanistan,AFG,2021-06-14,662003
Afghanistan,AFG,2021-06-22,765890
Afghanistan,AFG,2021-06-27,835694
Afghanistan,AFG,2021-06-30,886854
Afghanistan,AFG,2021-07-05,915671
Afghanistan,AFG,2021-07-07,934463
Afghanistan,AFG,2021-07-11,962093
Afghanistan,AFG,2021-07-14,1024168
Afghanistan,AFG,2021-07-18,1094257
Afghanistan,AFG,2021-07-24,1171064
Afghanistan,AFG,2021-08-20,1201286
Afghanistan,AFG,2021-08-31,1979652
Afghanistan,AFG,2021-09-30,2369625
Afghanistan,AFG,2021-11-14,4018197
Afghanistan,AFG,2021-12-27,4674518
Afghanistan,AFG,2022-01-09,4903368
Afghanistan,AFG,2022-01-11,4925111
Afghanistan,AFG,2022-01-13,4954809
Afghanistan,AFG,2022-01-17,4985047
Afghanistan,AFG,2022-01-19,5004050
Afghanistan,AFG,2022-01-24,5046054
Afghanistan,AFG,2022-01-26,5074196
Afghanistan,AFG,2022-01-27,5081064
Afghanistan,AFG,2022-01-31,5125146
Afghanistan,AFG,2022-02-02,5152297
Afghanistan,AFG,2022-02-07,5216998
Afghanistan,AFG,2022-02-14,5321308
Afghanistan,AFG,2022-02-20,5412309
Afghanistan,AFG,2022-02-27,5535254
Afghanistan,AFG,2022-03-06,5597130
Afghanistan,AFG,2022-03-17,5731146
Afghanistan,AFG,2022-03-22,5751015
Afghanistan,AFG,2022-04-04,5872684
Afghanistan,AFG,2022-04-14,5940400
Afghanistan,AFG,2022-04-18,5948889
Afghanistan,AFG,2022-04-26,5985756
Afghanistan,AFG,2022-04-27,5986139
Afghanistan,AFG,2022-05-05,6021468
Afghanistan,AFG,2022-05-08,6023425
Afghanistan,AFG,2022-05-10,6029737
Afghanistan,AFG,2022-05-15,6066579
Afghanistan,AFG,2022-05-23,6118557
Afghanistan,AFG,2022-06-01,6171652
Afghanistan,AFG,2022-06-15,6295222
Afghanistan,AFG,2022-06-21,6355931
Afghanistan,AFG,2022-06-27,6408475
Afghanistan,AFG,2022-06-30,6445359
Afghanistan,AFG,2022-07-10,6491111
Afghanistan,AFG,2022-07-17,6706843
Afghanistan,AFG,2022-07-19,7885045
Afghanistan,AFG,2022-07-27,8040605
